Velocity:0,Velocity:1,Points:0,Points:1,Points:2,
-0.0328645,-0.90531301,0.078539804,2.0027699,0,0
-0.035635501,-0.88824302,0.078539804,2.0420401,0,0
-0.038349401,-0.86981797,0.078539804,2.08131,0,0
-0.041006401,-0.85003901,0.078539804,2.12058,0,0
-0.0436063,-0.82890397,0.078539804,2.1598401,0,0
-0.046138499,-0.80648297,0.078539804,2.19911,0,0
-0.048594099,-0.782875,0.078539804,2.23838,0,0
-0.050972801,-0.75807899,0.078539804,2.2776501,0,0
-0.0532749,-0.73209602,0.078539804,2.31692,0,0
-0.055500299,-0.704925,0.078539804,2.35619,0,0
-0.057639498,-0.67666,0.078539804,2.3954599,0,0
-0.0596852,-0.647421,0.078539804,2.4347301,0,0
-0.061637402,-0.61720699,0.078539804,2.474,0,0
-0.063496202,-0.58601898,0.078539804,2.5132699,0,0
-0.065261401,-0.55385602,0.078539804,2.5525401,0,0
-0.066925399,-0.52083403,0.078539804,2.59181,0,0
-0.068482697,-0.48708701,0.078539804,2.6310799,0,0
-0.069933303,-0.45261601,0.078539804,2.6703501,0,0
-0.071277298,-0.417422,0.078539804,2.70962,0,0
-0.072514601,-0.38150299,0.078539804,2.7488899,0,0
-0.0736394,-0.34499201,0.078539804,2.7881601,0,0
-0.074648403,-0.30803499,0.078539804,2.82743,0,0
-0.075541697,-0.270632,0.078539804,2.8666999,0,0
-0.0763193,-0.232783,0.078539804,2.9059701,0,0
-0.076981097,-0.194488,0.078539804,2.94524,0,0
-0.077523403,-0.155892,0.078539804,2.9845099,0,0
-0.077945396,-0.117145,0.078539804,3.0237801,0,0
-0.0782471,-0.0782471,0.078539804,3.06305,0,0
-0.078428298,-0.039198801,0.078539804,3.10232,0,0
-0.078489199,2.06184E-13,0.078539804,3.1415901,0,0
-0.078428298,0.039198801,0.078539804,3.18086,0,0
-0.0782471,0.0782471,0.078539804,3.22013,0,0
-0.077945396,0.117145,0.078539804,3.2593999,0,0
-0.077523403,0.155892,0.078539804,3.2986701,0,0
-0.076981097,0.194488,0.078539804,3.33794,0,0
-0.0763193,0.232783,0.078539804,3.3772099,0,0
-0.075541697,0.270632,0.078539804,3.4164801,0,0
-0.074648403,0.30803499,0.078539804,3.45575,0,0
-0.0736394,0.34499201,0.078539804,3.4950199,0,0
-0.072514601,0.38150299,0.078539804,3.5342901,0,0
-0.071277298,0.417422,0.078539804,3.57356,0,0
-0.069933303,0.45261601,0.078539804,3.6128299,0,0
-0.068482697,0.48708701,0.078539804,3.6521001,0,0
-0.066925399,0.52083403,0.078539804,3.69137,0,0
-0.065261401,0.55385602,0.078539804,3.7306399,0,0
-0.063496202,0.58601898,0.078539804,3.7699101,0,0
-0.061637402,0.61720699,0.078539804,3.80918,0,0
-0.0596852,0.647421,0.078539804,3.8484499,0,0
-0.057639498,0.67666,0.078539804,3.8877201,0,0
-0.055500299,0.704925,0.078539804,3.92699,0,0
-0.0532749,0.73209602,0.078539804,3.96626,0,0
-0.050972801,0.75807899,0.078539804,4.0055299,0,0
-0.048594099,0.782875,0.078539804,4.0447998,0,0
-0.046138499,0.80648297,0.078539804,4.0840702,0,0
-0.0436063,0.82890397,0.078539804,4.1233401,0,0
-0.041006401,0.85003901,0.078539804,4.1626101,0,0
-0.038349401,0.86981797,0.078539804,4.20188,0,0
-0.035635501,0.88824302,0.078539804,4.2411499,0,0
-0.0328645,0.90531301,0.078539804,4.2804198,0,0
-0.0300365,0.92102897,0.078539804,4.3196902,0,0
-0.0271619,0.93531501,0.078539804,4.3589602,0,0
